project_id,bim360_account_id,service,status,created_at
72c2da48-6c6e-4b10-aae8-75eeb2c8da39,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-02-05 13:13:59.820599
bc5f471b-ca90-42fe-8a97-9d9062b54bd9,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-02-14 19:35:36.052545
bc5f471b-ca90-42fe-8a97-9d9062b54bd9,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-02-14 19:34:48.396115
0ffecfb5-3cbb-440d-9aab-e751eb249ac9,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-08-20 13:39:20.433
20256a92-9e6b-40e4-aec3-073ec091997f,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2019-11-25 21:59:17.52093
20256a92-9e6b-40e4-aec3-073ec091997f,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2019-11-25 21:58:43.300958
dd0a68b6-bc1c-478d-83ac-2e702b7b8c8e,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-01-08 21:16:44.259677
08941358-cb24-41cb-93fa-501acce5e184,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-06-10 17:12:33.349
78b5582f-3b03-4a29-8fc8-646cc4fb8b18,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-06-16 12:40:23.92351
b7d37487-44ab-4765-967a-7cb7854424bd,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-06-22 12:26:26.19617
65efe83c-465a-4651-af09-1de46086e6dc,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2019-11-25 20:59:02.310411
b7d37487-44ab-4765-967a-7cb7854424bd,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-06-22 12:30:18.25
496d0984-e920-4255-8b84-3fc95292371b,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-06-22 12:41:30.614808
a2a8a996-5627-4e4f-805e-a651dbd6e9af,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-09-28 18:35:35.636046
a2a8a996-5627-4e4f-805e-a651dbd6e9af,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-09-28 18:35:50.654
756807c3-b937-4641-a3fd-1999b341021e,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-09-28 12:47:47.458137
c9467327-2016-4182-be4f-acfb335e7c45,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-09-18 12:59:00.974186
104c132e-2fa4-47d4-aebf-496a4b32efec,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-07-13 15:36:52.189782
e9150b36-e4d0-4ea2-adf9-f3f7f2219f8d,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-07-17 12:43:59.1897
ff408b5e-5acf-4491-acc3-e230353358cc,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-10-01 20:49:25.052838
c8063789-b34f-45c4-9337-6e8354685642,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-10-07 17:57:37.531995
6ce10169-c9c5-4222-ba82-921beeee241a,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-07-27 14:46:48.7299
c3c9484a-ef46-41bf-8645-a92eefefa0ef,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-10-09 12:08:48.74636
