id,bim360_account_id,name,status
9cda7300-c870-4175-9ed1-be041339e712,956c9a49-bc6e-4459-b873-d9ecea0600cb,Plant Operations,active
19f80ecb-ea99-402b-86eb-05a72212d830,956c9a49-bc6e-4459-b873-d9ecea0600cb,Senior Engineer,active
c5751466-ae9c-45ae-87e4-a2292e59e1c4,956c9a49-bc6e-4459-b873-d9ecea0600cb,Print Room Clerk,active
1aad47b6-9cc1-4a84-ae09-a8bfcc8af55b,956c9a49-bc6e-4459-b873-d9ecea0600cb,Metromont,active
da275e5c-f781-4ddd-9104-31328ec229a3,956c9a49-bc6e-4459-b873-d9ecea0600cb,Safety Manager,active
a6a28f06-8df5-4a60-af02-17f7cb837f05,956c9a49-bc6e-4459-b873-d9ecea0600cb,Accounting,active
ac2bc4a4-1504-4ad0-b1fc-fcba17bb2b8a,956c9a49-bc6e-4459-b873-d9ecea0600cb,Construction Manager,active
bad19240-1d47-436c-8ef9-eef4fb1d2eb8,956c9a49-bc6e-4459-b873-d9ecea0600cb,Project Manager,active
5116c90f-5bae-48bd-8365-7cc8458d0d16,956c9a49-bc6e-4459-b873-d9ecea0600cb,Superintendent,active
8399c65d-5bfd-49e1-8996-f21d8ffab519,956c9a49-bc6e-4459-b873-d9ecea0600cb,Estimator,active
608c5490-6b07-476e-8354-41fd0ff52def,956c9a49-bc6e-4459-b873-d9ecea0600cb,Executive,active
ac869a1f-a249-4064-96c9-f4be666b22c8,956c9a49-bc6e-4459-b873-d9ecea0600cb,IT,active
2afbcc81-15e1-4407-8626-dcdf705b7cab,956c9a49-bc6e-4459-b873-d9ecea0600cb,Project Engineer,active
933e4632-42da-4f12-a7f2-72e479a975aa,956c9a49-bc6e-4459-b873-d9ecea0600cb,Viewer,active
5f8b1f32-0388-40b6-9d63-d78d98975694,956c9a49-bc6e-4459-b873-d9ecea0600cb,Plant User,active
