project_id,bim360_account_id,user_id,service,role,created_at
58fa108b-f2ca-47fa-a15c-8e5fcc85bd02,956c9a49-bc6e-4459-b873-d9ecea0600cb,ac7b148a-70e8-449d-8c21-73d6c2a4af56,documentManagement,project_user,2022-01-18 22:26:34.630327
e8cd7af3-1b00-4bf3-ae5c-729a19eab48d,956c9a49-bc6e-4459-b873-d9ecea0600cb,d650312f-dba3-4cd6-a022-958e36e5f2a8,documentManagement,project_user,2020-09-18 18:27:29.044061
e8cd7af3-1b00-4bf3-ae5c-729a19eab48d,956c9a49-bc6e-4459-b873-d9ecea0600cb,d650312f-dba3-4cd6-a022-958e36e5f2a8,designCollaboration,project_user,2020-09-18 18:27:28.997122
7d685723-7855-4770-b5e2-34883d529bd3,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,documentManagement,project_user,2020-02-12 14:59:22.91909
7d685723-7855-4770-b5e2-34883d529bd3,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,designCollaboration,project_user,2020-02-12 14:59:22.983491
83c41c3d-4832-4592-b268-e6daf9079166,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,designCollaboration,project_user,2020-02-12 15:01:30.548575
83c41c3d-4832-4592-b268-e6daf9079166,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,documentManagement,project_user,2020-02-12 15:01:30.239342
dd0a68b6-bc1c-478d-83ac-2e702b7b8c8e,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,documentManagement,project_user,2020-02-12 14:59:00.76897
7915a407-01f3-4128-9475-8bad92850605,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,documentManagement,project_user,2020-02-12 14:59:40.357967
dd0a68b6-bc1c-478d-83ac-2e702b7b8c8e,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,designCollaboration,project_user,2020-02-12 14:59:00.807042
7915a407-01f3-4128-9475-8bad92850605,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,designCollaboration,project_user,2020-02-12 14:59:40.407928
1022c35c-a7a2-4aba-a4be-bd4847dc28fa,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,documentManagement,project_user,2020-02-12 15:00:00.053329
1022c35c-a7a2-4aba-a4be-bd4847dc28fa,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,designCollaboration,project_user,2020-02-12 15:00:00.112744
bc5f471b-ca90-42fe-8a97-9d9062b54bd9,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,designCollaboration,project_admin,2020-02-14 19:50:30.329151
7915a407-01f3-4128-9475-8bad92850605,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,projectAdministration,project_admin,2020-01-23 13:22:55.29487
7915a407-01f3-4128-9475-8bad92850605,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,documentManagement,project_admin,2020-01-23 13:22:55.338253
7d685723-7855-4770-b5e2-34883d529bd3,956c9a49-bc6e-4459-b873-d9ecea0600cb,522c731a-6a98-434f-8a12-12f8fd2cb74a,designCollaboration,project_user,2020-04-01 17:22:16.505177
58fa108b-f2ca-47fa-a15c-8e5fcc85bd02,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,projectAdministration,project_admin,2021-03-08 21:44:36.863619
58fa108b-f2ca-47fa-a15c-8e5fcc85bd02,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,insight,project_admin,2021-03-08 21:44:36.965747
58fa108b-f2ca-47fa-a15c-8e5fcc85bd02,956c9a49-bc6e-4459-b873-d9ecea0600cb,89f1c7c3-332b-414a-999d-0c98efc442a2,documentManagement,project_user,2021-03-08 21:44:37.412663
58fa108b-f2ca-47fa-a15c-8e5fcc85bd02,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,documentManagement,project_admin,2021-03-08 21:44:37.0709
58fa108b-f2ca-47fa-a15c-8e5fcc85bd02,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,documentManagement,project_user,2021-03-08 21:44:37.704687
62d8bf6b-c691-4b7b-9256-417a200cc619,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,projectAdministration,project_admin,2020-11-11 14:11:18.200445
62d8bf6b-c691-4b7b-9256-417a200cc619,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,insight,project_admin,2020-11-11 14:11:18.236467
62d8bf6b-c691-4b7b-9256-417a200cc619,956c9a49-bc6e-4459-b873-d9ecea0600cb,f250799d-f5b7-4d9e-a89b-39a33635d8bb,documentManagement,project_user,2020-11-11 14:11:18.925096
62d8bf6b-c691-4b7b-9256-417a200cc619,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,documentManagement,project_admin,2020-11-11 14:11:18.284795
50584937-aa46-46b4-974f-ec6a7bbad379,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,projectAdministration,project_admin,2020-04-08 12:53:38.400979
50584937-aa46-46b4-974f-ec6a7bbad379,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,designCollaboration,project_admin,2020-04-08 12:54:03.249431
756807c3-b937-4641-a3fd-1999b341021e,956c9a49-bc6e-4459-b873-d9ecea0600cb,82204eab-1569-495c-9998-cb12f55985a9,documentManagement,project_user,2020-10-14 19:14:59.243204
83c41c3d-4832-4592-b268-e6daf9079166,956c9a49-bc6e-4459-b873-d9ecea0600cb,ee7ff653-b756-4e4c-b78e-f86af61bfbd8,documentManagement,project_user,2020-04-17 22:38:11.091592
83c41c3d-4832-4592-b268-e6daf9079166,956c9a49-bc6e-4459-b873-d9ecea0600cb,ee7ff653-b756-4e4c-b78e-f86af61bfbd8,designCollaboration,project_user,2020-04-17 22:38:11.038701
08fab244-8162-4eeb-b707-6667c6b92460,956c9a49-bc6e-4459-b873-d9ecea0600cb,d69984ee-4386-4f71-9b47-b1f2d23b16dc,documentManagement,project_user,2020-12-04 13:39:41.590557
e14cdd99-aa3f-4762-b7af-c1cbb1588c03,956c9a49-bc6e-4459-b873-d9ecea0600cb,d69984ee-4386-4f71-9b47-b1f2d23b16dc,documentManagement,project_user,2020-12-04 13:40:07.90711
1cd57720-4869-4fc0-bd79-288ac0bc21a3,956c9a49-bc6e-4459-b873-d9ecea0600cb,ed8c8d85-7315-47ef-9763-c536bfe451bc,documentManagement,project_user,2020-08-17 14:44:57.348208
c65bec6d-c733-4193-9e60-3ee13ae354d0,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,projectAdministration,project_admin,2020-11-12 16:37:04.728131
c65bec6d-c733-4193-9e60-3ee13ae354d0,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,insight,project_admin,2020-11-12 16:37:04.760709
bc5f471b-ca90-42fe-8a97-9d9062b54bd9,956c9a49-bc6e-4459-b873-d9ecea0600cb,fc1c73eb-2f95-416f-ae26-cb5f0cdfa0b2,documentManagement,project_user,2020-09-28 15:37:04.292328
bc5f471b-ca90-42fe-8a97-9d9062b54bd9,956c9a49-bc6e-4459-b873-d9ecea0600cb,fc1c73eb-2f95-416f-ae26-cb5f0cdfa0b2,designCollaboration,project_user,2020-09-28 15:37:04.334207
fd1eceab-63d1-47ae-bd72-b6d9569af17d,956c9a49-bc6e-4459-b873-d9ecea0600cb,fc1c73eb-2f95-416f-ae26-cb5f0cdfa0b2,documentManagement,project_user,2021-11-29 14:05:55.558695
4152945c-924d-4a9f-b56a-d4d1b5336b59,956c9a49-bc6e-4459-b873-d9ecea0600cb,08d92aae-504c-4983-9cb2-4c5b8f49a0f7,documentManagement,project_user,2021-11-29 14:06:22.400112
cd3d9a78-a15f-4078-9d62-90a62ce6b978,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,designCollaboration,project_admin,2020-04-29 20:11:41.478058
14b6fa96-af3a-41ba-99a9-a88053bb4cd7,956c9a49-bc6e-4459-b873-d9ecea0600cb,bfe0be51-ed5e-4be2-ad49-0401924f11a3,documentManagement,project_user,2020-10-01 20:39:27.768898
08941358-cb24-41cb-93fa-501acce5e184,956c9a49-bc6e-4459-b873-d9ecea0600cb,79d21222-9cc1-4db2-955d-7515edf70294,designCollaboration,project_user,2020-10-02 21:26:52.31002
14646f8b-1a41-495c-956a-a8945e57caff,956c9a49-bc6e-4459-b873-d9ecea0600cb,474c6cf3-9955-451f-908b-a518a6584017,projectAdministration,project_admin,2023-02-23 20:06:44.018994
14646f8b-1a41-495c-956a-a8945e57caff,956c9a49-bc6e-4459-b873-d9ecea0600cb,474c6cf3-9955-451f-908b-a518a6584017,documentManagement,project_admin,2023-02-23 20:06:44.641141
596562f7-9d73-41f3-aaee-daa91a9d5a0d,956c9a49-bc6e-4459-b873-d9ecea0600cb,f6f6a711-0a75-46e8-a04b-44784b2798c9,documentManagement,project_user,2020-10-21 02:44:40.199555
17ada765-b6e7-43d0-9530-6918b4925919,956c9a49-bc6e-4459-b873-d9ecea0600cb,503b8fad-d9b9-4081-9f53-1d9ff26b0545,documentManagement,project_user,2020-05-12 18:20:21.793961
e8cd7af3-1b00-4bf3-ae5c-729a19eab48d,956c9a49-bc6e-4459-b873-d9ecea0600cb,842fa23a-c6d2-464b-a499-96598257e971,documentManagement,project_user,2020-05-19 15:59:50.765053
e8cd7af3-1b00-4bf3-ae5c-729a19eab48d,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,insight,project_admin,2020-05-19 15:59:49.481067
e8cd7af3-1b00-4bf3-ae5c-729a19eab48d,956c9a49-bc6e-4459-b873-d9ecea0600cb,8e107fae-ce0d-48ea-98b6-685cd60c033d,documentManagement,project_admin,2020-05-19 15:59:49.537713
d2ac702a-e935-4f8c-90ee-5bfb9d5b5839,956c9a49-bc6e-4459-b873-d9ecea0600cb,d69984ee-4386-4f71-9b47-b1f2d23b16dc,designCollaboration,project_user,2020-06-03 17:59:25.760888
d2ac702a-e935-4f8c-90ee-5bfb9d5b5839,956c9a49-bc6e-4459-b873-d9ecea0600cb,d69984ee-4386-4f71-9b47-b1f2d23b16dc,documentManagement,project_user,2020-06-03 17:59:25.572647
1cd57720-4869-4fc0-bd79-288ac0bc21a3,956c9a49-bc6e-4459-b873-d9ecea0600cb,6df2581b-4b75-4933-be94-bd3aa300b5db,documentManagement,project_user,2020-06-17 14:42:43.417807
